Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
FJA*,ML Depositor PPLUS Trust,7.10%,No,No,No,No,Embarq Corp. Certificates EQ-1,6/01/12,3/18/13
AVF*,"American Intl Group,",7.70%,No,No,No,No,Series A-5 Jr Subordinated Debentures due 12/15/2062,12/18/12,3/18/13
BWF*,"Wells Fargo Capital XII,",7.875%,No,No,No,No,Enhanced TruPS Trust Preferred Securities,3/15/13,3/15/13
BMR-A*,"BioMed Realty Trust,",7.375%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Stock,1/18/12,3/15/13
BFS-B*,"Saul Centers,",9.00%,Yes,No,No,Yes,Dep Shares Series B Cumulative Redeemable Preferred Stock,3/15/13,3/15/13
WISCL*,"Wisconsin Power &amp; Light Co.,",4.80%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,3/15/13
WISCM*,"Wisconsin Power &amp; Light Co.,",4.40%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,3/15/13
WISCN*,"Wisconsin Power &amp; Light Co.,",4.76%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,3/15/13
WISCP*,"Wisconsin Power &amp; Light Co.,",4.96%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,3/15/13
WISLH*,"Wisconsin Power &amp; Light Co.,",6.20%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,3/15/13
WISLI*,"Wisconsin Power &amp; Light Co.,",6.50%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,3/15/13
PKK*,ML Depositor PreferredPlus,8.50%,No,No,No,No,Liberty Media Certificates LMG-2,1/15/07,3/14/13
PIS*,ML Depositor PreferredPlus,8.75%,No,No,No,No,Liberty Media Certificates LMG-1,2/01/07,3/14/13
CDR-A*,"Cedar Realty Trust,",8 7/8%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Stock,7/28/09,3/11/13
MNRKP*,"Monarch Financial Holdings,",7.80%,No,No,Yes,No,Series B Non-cumul Convertible Preferred Stock,12/01/12,3/08/13
SGZ*,"Selective Insurance Group,",7.50%,No,No,No,No,Junior Subordinated Notes due 9/27/2066,9/26/11,3/08/13
PAO*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PCA*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
NPBCO*,"NPB Capital Trust II,",7.85%,Yes,No,No,No,Cumul Trust Preferred Securities,9/30/07,3/07/13
PJB*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PIC*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PKN*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PLK*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PMA*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PYH*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
PTO*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
CVRT*,N/A,N/A,No,No,No,No,N/A,N/A,3/07/13
CPWPN*,"Progress Energy Carolinas,",$4.20,Yes,No,No,No,Cumulative Serial Preferred Stock,N/A,3/05/13
CPWPO*,"Progress Energy Carolinas,",$5.00,Yes,No,No,No,Cumulative Preferred Stock,N/A,3/05/13
FLPWM*,"Progress Energy Florida,",4.60%,Yes,No,No,No,Cumulative Preferred Stock,N/A,3/05/13
FLPWN*,"Progress Energy Florida,",4.58%,Yes,No,No,No,Cumulative Preferred Stock,N/A,3/05/13
FLPWO*,"Progress Energy Florida,",4.40%,Yes,No,No,No,Cumulative Preferred Stock,N/A,3/05/13
FLPWP*,"Progress Energy Florida,",4.00%,Yes,No,No,No,Cumulative Preferred Stock,N/A,3/05/13
FLPXM*,"Progress Energy Florida,",4.75%,Yes,No,No,No,Cumulative Preferred Stock,N/A,3/05/13
OTTRO*,"Otter Tail Corp.,",$4.40,Yes,No,No,No,Series Cumulative Preferred Shares,N/A,3/01/13
OTTRP*,"Otter Tail Corp.,",$3.60,Yes,No,No,No,Series Cumulative Preferred Shares,N/A,3/01/13
MKS*,"MSDW Structured Asset SATURNS 2002-11,",6.00%,No,No,No,No,AIG Capital,10/28/07,3/01/13
SHO-A*,"Sunstone Hotel Investors,",8.00%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Stock,3/17/10,3/01/13
SCEDO*,"Southern California Edison,",6 1/8%,No,No,No,No,Series B Non-cumulative Preference Stock,9/30/10,2/28/13
SCEDL*,"Southern California Edison,",6.00%,No,No,No,No,Series C Non-cumulative Preference Stock,9/30/10,2/28/13
GWO*,N/A,N/A,No,No,No,No,N/A,N/A,2/26/13
DGRDP*,"Digital Realty Trust,",5.50%,Yes,No,Yes,No,Series D Cumulative Convertible Preferred Stock,2/06/13,2/26/13
FIAYY*,"Fiat S.p.A.,",6.20%,No,No,No,No,Preference Shares ADR,N/A,2/25/13
FIAZY*,N/A,N/A,No,No,No,No,N/A,N/A,2/25/13
DRE-O*,"Duke Realty Corp.,",8.375%,Yes,No,No,No,Dep Shares Series O Cumul Preferred Shares,2/22/13,2/22/13
VNO-F*,"Vornado Realty Trust,",6.75%,Yes,No,No,Yes,Series F Cumul Redeem Preferred Shares,11/17/09,2/19/13
VNO-H*,"Vornado Realty Trust,",6.75%,Yes,No,No,Yes,Series H Cumul Redeem Preferred Shares,6/17/10,2/19/13
WPK*,"Wells Fargo Capital VII,",5.85%,No,No,No,No,Trust Preferred Securities,5/02/08,2/04/13
F-A*,"Ford Motor Co.,",7.50%,No,No,No,No,Notes due 6/10/2043,6/25/08,2/04/13
GWF*,"Wells Fargo Capital VIII,",5.625%,No,No,No,No,Trust Preferred Securities,7/28/08,2/04/13
JWF*,"Wells Fargo Capital IX,",5.625%,No,No,No,No,Trust Preferred Securities,4/08/09,2/04/13
FPC-A*,"FPC Capital I,",7.10%,No,No,No,No,"QUIPS Quarterly Income Preferred Securities, Series A",4/13/04,2/01/13
GED*,"General Electric Capital Corp.,",5.875%,No,No,No,No,Notes due 2/18/2033,2/20/08,1/18/13
GEG*,"General Electric Capital Corp.,",6.05%,No,No,No,No,Notes due 2/6/2047,2/06/12,1/18/13
GEJ*,"General Electric Capital Corp.,",6.00%,No,No,No,No,Public Income Notes PINES due 4/24/2047,4/24/12,1/18/13
GEP*,N/A,N/A,No,No,No,No,N/A,1/28/10,1/18/13
XFH*,"Lehman ABS Corp Bkd Trust Certs 2002-12,",8.20%,No,No,No,No,Motorola Debentures,6/18/07,1/10/13
FGC*,"NextEra Energy Capital Holdings,",6.60%,No,No,No,No,Series A Enh Jr Debentures due 10/1/2066,10/01/11,1/09/13
TYG-A*,"Tortoise Energy Infrastructure Corp.,",6.25%,No,No,No,Yes,"Mand Redeem Pfd Shares, 12/31/2019",12/31/12,1/07/13
TEMP64*,"Capital One Capital VI,",8.875%,Yes,No,No,No,Cumulative Trust Preferred Securities,11/15/14,1/02/13
GER**,"General Electric Capital Corp.,",6.45%,No,No,No,No,Notes due 6/15/2046,6/15/11,1/02/13
GEC*,"General Electric Capital Corp.,",6.10%,No,No,No,No,Public Income Notes PINES due 11/15/2032,11/15/07,1/02/13
GEA*,"General Electric Capital Corp.,",6.625%,No,No,No,No,Public Income Notes PINES due 6/28/2032,6/28/07,1/02/13
COF-B*,"Capital One Capital II,",7.50%,No,No,No,No,Enhanced TRUPS Trust Preferred Securities,6/15/11,1/02/13
HAVNP*,"Haven Capital Trust II,",10.25%,No,No,No,No,Capital Securities,6/30/11,12/31/12
BDN-D*,"Brandywine Realty Trust,",7.375%,Yes,No,No,Yes,Series D Cumul Redeem Preferred Shares,2/27/09,12/28/12
PSA-Z*,"Public Storage Inc.,",6.25%,Yes,No,No,No,Dep Shares Cumul Preferred Stock Series Z,3/05/09,12/27/12
PSA-A*,"Public Storage Inc.,",6.125%,Yes,No,No,No,"Dep Shares Cumul Preferred Stock, Series A",3/31/09,12/27/12
PSA-D*,"Public Storage Inc.,",6.18%,Yes,No,No,No,Dep Shares Cumul Preferred Stock Series D,2/28/10,12/27/12
KNR*,"Structured Products CorTS, Bristol-Myers Squibb Deb,",6.80%,No,No,No,No,Certificates,5/23/07,12/20/12
AEP-A*,"American Electric Power Company,",8.75%,No,No,No,No,Junior Subor Debentures due 3/1/2068,3/01/13,12/19/12
C-H**,"Citigroup, Inc.,",7.50%,No,No,No,No,T-DECS Tangible Dividend Enhanced Common Stock,12/15/12,12/18/12
C-G**,"Citigroup Capital XX,", 7.875%,No,No,No,No,Enhanced TruPS Trust Preferred Securities,12/15/12,12/17/12
CPP*,ML Depositor PreferredPlus,8.05%,No,No,No,No,Countrywide Cap Certificates CCR-1,6/15/06,12/15/12
PKJ*,ML Depositor PreferredPlus,8.00%,No,No,No,No,Cooper Tire Certificates CTR-1,12/15/06,12/15/12
PNC-D**,"National City Preferred Capital Trust I,",12.00%,No,No,No,No,Fixed-to-Float Normal APEX,N/A,12/10/12
JZS*,"Lehman ABS Corp Bkd Trust Certs 2003-12,",5.80%,No,No,No,No,Goldman Sachs,8/07/08,12/05/12
RF-Z*,"Regions Financing Trust III,",8.875%,No,No,No,No,Trust Preferred Securities,6/15/13,12/03/12
HJO*,"MS Structured Asset SATURNS 2005-02,",6.875%,No,No,No,No,Aon Capital A,1/27/10,11/30/12
GJI*,N/A,N/A,No,No,No,No,N/A,N/A,11/29/12
CTGSO*,"Connecticut Natural Gas Corp.,",6.00%,Yes,No,No,No,"Cumulative Preferred Stock, Series B",N/A,11/29/12
BK-E*,"BNY Capital IV,",6 7/8%,No,No,No,No,"Trust Preferred Securities, Series E",1/25/04,11/26/12
BK-F*,"BNY Capital V,",5.95%,No,No,No,No,"Trust Preferred Securities, Series F",5/01/08,11/26/12
NCLIP*,"North Coast Life Insurance Co.,",10%,No,No,Yes,No,Series A Convertible Preferred Stock,N/A,11/26/12
WRI-E*,"Weingarten Realty Investors,",6.95%,Yes,No,No,No,Dep Shares Cumul Preferred Shares Series E,7/08/09,11/21/12
BEAM-A*,"Beam Inc.,",$2.67,No,No,Yes,No,Convertible Preferred Stock,N/A,11/20/12
RMT-A*,"Royce Micro-Cap Trust,",6.00%,Yes,No,No,No,Cumulative Preferred Stock,10/16/08,11/15/12
RFO-A*,"Royce Focus Trust,",6.00%,Yes,No,No,No,Cumulative Preferred Stock,10/17/08,11/15/12
RVT-B*,"Royce Value Trust,",5.90%,Yes,No,No,No,Cumulative Preferred Stock,10/09/08,11/15/12
GAB-F*,"Gabelli Equity Trust,",6.20%,Yes,No,No,No,Series F Cumulative Preferred Stock,11/10/11,11/08/12
EPR-D*,"Entertainment Properties Trust,",7.375%,Yes,No,No,Yes,Series D Cumul Redeem Preferred Shares,5/25/12,11/05/12
CBL-C*,"CBL &amp; Associates Properties,",7.75%,Yes,No,No,Yes,Dep Shares Cumul Redeem Preferred Stock C,8/22/08,11/05/12
BAC-C*,"BAC Capital Trust XII,",6 7/8%,No,No,No,No,Capital Securities,8/02/11,11/05/12
BAC-U*,"BAC Capital Trust IV,",5 7/8%,No,No,No,No,Capital Securities,5/01/08,11/05/12
BAC-V*,"BAC Capital Trust II,",7.00%,No,No,No,No,Capital Securities,2/01/07,11/05/12
BAC-W*,"BAC Capital Trust I,",7.00%,No,No,No,No,Capital Securities,12/15/06,11/05/12
BAC-X*,"BAC Capital Trust III,",7.00%,No,No,No,No,Capital Securities,8/15/07,11/05/12
BAC-Y*,"BAC Capital Trust V,",6.00%,No,No,No,No,Capital Securities,11/03/09,11/05/12
WLFCP*,"Willis Lease Finance Corp.,",9.00%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Stock,2/15/11,11/02/12
PIJ*,ML Depositor PreferredPlus,7.40%,No,No,No,No,Ford Motor Co. Certificates FRD-1,11/01/06,11/01/12
TMK-A*,"Torchmark Capital Trust III,",7.10%,No,No,No,No,TOPrS Trust Orig Preferred Securities,6/01/11,10/24/12
ELS-A*,"Equity Lifestyle Properties,",8.034%,Yes,Yes,No,Yes,Series A Cumul Redeem Perp Preferred Stock,N/A,10/18/12
PSA-F*,"Public Storage Inc.,",6.45%,Yes,No,No,No,Dep Shares Cumul Preferred Stock Series F,8/23/10,10/15/12
PSA-X*,"Public Storage Inc.,",6.45%,Yes,No,No,No,Dep Shares Cumul Preferred Stock Series X,11/13/08,10/15/12
TZK*,"Bear Stearns Depositor TRUCs Certs 2002-1,",7.70%,No,No,No,No,Ford Motor Co.,5/15/07,10/10/12
XKN*,"Lehman ABS Corp Bkd Trust Certs 2001-36,",7.55%,No,No,No,No,Ford Motor Co.,11/15/06,10/10/12
KIM-G*,"Kimco Realty Corp.,",7.75%,Yes,No,No,Yes,Class G Dep Shares Cumul Redeem Preferred Stock,10/10/12,10/10/12
HYH*,"Structured Products CorTS, Weyerhaeuser Co. Deb,",6.00%,No,No,No,No,Certificates,2/23/09,10/09/12
PSB-P*,"PS Business Parks,",6.70%,Yes,No,No,No,"Dep Shares Cumulative Preferred Stock, Series P",1/17/12,10/09/12
KNO*,"Structured Products CorTS, SunAmerica Debentures,",6.70%,No,No,No,No,Certificates,5/17/07,10/03/12
ABW-A*,"ASBC Capital I,",7 5/8%,No,No,No,No,TOPrS Trust Orig Preferred Securities,5/30/07,10/01/12
AFE*,"American Financial Group,",7 1/8%,No,No,No,No,Senior Debentures due 2/03/2034,2/03/09,9/28/12
PRD*,"Primus Guaranty Ltd,",7.00%,No,No,No,No,Senior Notes due 12/27/2036,12/27/11,9/27/12
SUS-A*,"Susquehanna Capital I,",9.375%,No,No,No,No,"Capital Securities, Series I",12/12/12,9/17/12
PYJ*,ML Depositor PPLUS Trust,6.25%,No,No,No,No,Comcast Corp. Certificates CMT-1,3/15/09,9/15/12
REG-E*,"Regency Centers Corp.,",6.70%,Yes,No,No,Yes,Dep Shares Series 5 Cumul Redeem Preferred Stock,8/02/10,9/13/12
BBXT*,"BBC Capital Trust II,",8.50%,No,No,No,No,Trust Preferred Securities,3/31/07,9/12/12
BOFIP*,"BofI Holding,",6.0%,No,Yes,Yes,No,Series B Non-Cumulative Perpetual Convertible Preferred Stock,9/07/14,9/11/12
FGE*,"NextEra Energy Capital Holdings,",7.45%,No,No,No,No,Series E Jr Sub Debentures due 12/31/2067,9/01/12,9/04/12
GRT-F*,"Glimcher Realty Trust,",8.75%,Yes,No,No,Yes,"Cumulative Redeemable Preferred Shares, Series F",8/25/08,9/04/12
PL-D*,"Protective Life Corp.,",7.25%,No,No,No,No,Capital Securities due 6/30/2066,6/30/11,9/04/12
TCO-G*,"Taubman Centers,",8.00%,Yes,No,No,Yes,Series G Cumulative Redeemable Preferred Stock,11/23/09,9/04/12
TCO-H*,"Taubman Centers,",7.625%,Yes,No,No,Yes,Series H Cumulative Redeemable Preferred Stock,7/01/10,9/04/12
CWH-C*,"CommonWealth REIT,",7 1/8%,Yes,No,No,Yes,Series C Cumul Redeem Preferred Shares,2/15/11,8/24/12
DDR-I*,"DDR Corp.,",7.50%,Yes,No,No,Yes,Dep Shares Class I Cumulative Redeemable Preferred Shares,5/07/09,8/20/12
EQR-N*,"Equity Residential Properties Trust,",6.48%,No,No,No,No,Dep Shares Preferred Series N,6/19/08,8/20/12
SKOR*,N/A,N/A,No,No,No,No,N/A,N/A,8/20/12
HJG*,"MS Structured Asset SATURNS 2004-02,",5.75%,No,No,No,No,Goldman Sachs,2/11/09,8/17/12
KCW*,"Structured Products CorTS, US West Communications,",7.5%,No,No,No,No,Certificates,4/10/06,8/16/12
VNO-E*,"Vornado Realty Trust,",7.00%,Yes,No,No,Yes,Series E Cumul Redeem Preferred Shares,8/20/09,8/16/12
KIM-F*,"Kimco Realty Corp.,",6.65%,Yes,No,No,Yes,Class F Dep Shares Cumul Redeem Preferred Stock,6/05/08,8/15/12
IKR*,"Bank of America,",6.00%,No,No,No,No,Subordinated InterNotes due 8/15/2034,8/15/09,8/15/12
FTB-A*,"Fifth Third Capital Trust V,",7.25%,No,No,No,No,Trust Preferred Securities,8/15/12,8/15/12
C-F*,"Citigroup Capital XIX,",7.25%,No,No,No,No,Enhanced TruPS Trust Preferred Securities,8/15/12,8/15/12
PLV*,"PPL Capital Funding,",6.85%,No,No,No,No,Senior Notes due 7/1/2047,7/01/12,8/14/12
FTB-B*,"Fifth Third Capital Trust VI,",7.25%,No,No,No,No,Trust Preferred Securities,11/15/12,8/08/12
PSA-W*,"Public Storage Inc.,",6.50%,Yes,No,No,No,Dep Shares Cumul Preferred Stock Series W,10/06/08,8/06/12
OFC-G*,"Corporate Office Properties Trust,",8.00%,Yes,No,No,Yes,Cumul Redeem Preferred Shares G,8/11/08,8/06/12
MKV*,"Markel Corp.,",7.50%,No,No,No,No,Senior Debentures due 8/22/2046,8/22/11,8/01/12
DKP*,"MS Structured Asset SATURNS 2003-06,",6%,No,No,No,No,Goldman Sachs Deb,4/03/08,7/31/12
NCC-C*,"National City Capital Trust IV,",8.00%,No,No,No,No,TruPS (Enhanced Trust Preferred Sec),8/30/12,7/30/12
PNH*,"PNC Capital Trust E,",7 3/4%,No,No,No,No,Trust Preferred Securities,3/15/13,7/30/12
TCB-A*,"TCF Capital I,",10.75%,No,No,No,No,"Capital Securities, Series I",8/15/13,7/30/12
JZH*,"Lehman ABS Corp Bkd Trust Certs 2003-20,",6.00%,No,No,No,No,Prudential Financial Note,12/22/08,7/27/12
AIV-U*,"Apartment Investment &amp; Management,",7.75%,Yes,No,No,No,Class U Cumul Preferred Stock,3/24/09,7/26/12
MJH*,"MSDW Structured Asset SATURNS 2001-06,",7.25%,No,No,No,No,Bank of America,12/31/06,7/26/12
BAC-B*,"BAC Capital Trust X,",6 1/4%,No,No,No,No,Capital Securities,3/29/11,7/25/12
KRB-D*,"MBNA Capital D,",8.125%,No,No,No,No,"TRUPS Trust Preferred Securities, Series D",10/01/07,7/25/12
KRB-E*,"MBNA Capital E,",8.10%,No,No,No,No,"TOPrS Trust Orig Preferred Securities, Series E",2/15/08,7/25/12
FBF-M*,"Fleet Capital Trust VIII,",7.20%,No,No,No,No,Preferred Securities,3/08/07,7/25/12
FBF-N*,"Fleet Capital Trust IX,",6.00%,No,No,No,No,TruPS Trust Preferred Securities,7/31/08,7/25/12
CCS*,"Comcast Corp.,",6.625%,No,No,No,No,Notes due 5/15/2056,5/15/12,7/23/12
BBT-A*,"BB&amp;T Capital Trust V,",8.95%,No,No,No,No,Enhanced Trust Preferred Securities,9/15/13,7/18/12
BBT-B*,"BB&amp;T Capital Trust VI,",9.60%,No,No,No,No,Enhanced Trust Preferred Securities,8/01/14,7/18/12
BBT-C*,"BB&amp;T Capital Trust VII,",8.10%,No,No,No,No,Enhanced Trust Preferred Securities,11/01/14,7/18/12
C-J*,"Citigroup Capital XII,",8.50%,No,No,No,No,Fixed/Floating Trust Preferred Securities,3/30/15,7/18/12
GJX*,"Synthetic Fixed-Income Sec STRATS 2007-02,",7.00%,No,No,No,No,BNSF Funding Trust I,7/15/12,7/17/12
GAR*,"Georgia Power Co.,",6.375%,No,No,No,No,Series 2007D Senior Notes due 7/15/2047,7/15/12,7/16/12
IKJ*,"Bank of America,",6.50%,No,No,No,No,Subordinated InterNotes due 10/15/2032,10/15/07,7/15/12
IKL*,"Bank of America,",5.50%,No,No,No,No,Subordinated InterNotes due 7/15/2033,7/15/08,7/15/12
NEFIO*,"Newell Financial Trust I,",5 1/4%,No,No,Yes,No,Convertible QUIPS,12/01/07,7/14/12
SLG-D*,"SL Green Realty Corp.,",7.875%,Yes,No,No,Yes,Series D Cumul Redeem Preferred Stock,5/27/09,7/13/12
GFW*,"AAG Holding Co. Inc.,",7 1/2%,No,No,No,No,Senior Debentures due 11/5/2033,11/05/08,7/13/12
GFZ*,"AAG Holding Co. Inc.,",7 1/4%,No,No,No,No,Senior Debentures due 1/23/2034,1/23/09,7/13/12
GJN*,N/A,N/A,No,No,No,No,N/A,N/A,7/12/12
JPM-Z*,"JPMorgan Chase Capital XXVI,",8.00%,No,No,No,No,"Fixed-Float Capital Securities, Series Z",5/15/13,7/12/12
JPM-B*,"JPMorgan Chase Capital XXVIII,",7.20%,No,No,No,No,"Fixed-to-Float Capital Sec., Series BB",12/22/14,7/12/12
KEY-F*,"KeyCorp Capital X,",8.00%,No,No,No,No,Enhanced TruPS Trust Preferred Securities,3/15/13,7/12/12
PSA-C*,"Public Storage Inc.,",6.60%,Yes,No,No,No,Dep Shares Cumul Preferred Stock Series C,9/13/09,7/12/12
STI-Z*,"SunTrust Capital IX,",7.875%,No,No,No,No,Trust Preferred Securities,3/15/13,7/11/12
PSA-N*,"Public Storage Inc.,",7.00%,Yes,No,No,No,Dep Shares Cumul Preferred Stock Series N,7/02/12,7/02/12
WREGM*,"Westar Energy,",4.25%,Yes,No,No,No,Cumulative Preferred Stock,N/A,7/01/12
WREGO*,"Westar Energy,",5.00%,Yes,No,No,No,Cumulative Preferred Stock,N/A,7/01/12
WREGP*,"Westar Energy,",4.50%,Yes,No,No,No,Cumulative Preferred Stock,N/A,7/01/12
SOR-*,"Source Capital, Inc.,",$2.40,Yes,No,No,No,Cumulative Preferred Stock,N/A,6/29/12
FRCCO*,"First Republic Preferred Capital,",7.25%,No,No,No,No,Series D Non-cumul Preferred Shares,6/27/08,6/29/12
KSK*,"Structured Products CorTS, Ford Debentures,",7.4%,No,No,No,No,Certificates,2/28/06,6/19/12
CPUBL*,"Central Vermont Public Service Corp.,",4.65%,No,No,No,No,Series Preferred Stock,N/A,6/19/12
CPUBN*,"Central Vermont Public Service Corp.,",4.15%,No,No,No,No,Series Preferred Stock,N/A,6/19/12
CPUBO*,"Central Vermont Public Service Corp.,",4.75%,No,No,No,No,Series Preferred Stock,N/A,6/19/12
CTPPL*,"Central Maine Power Co.,",4.75%,No,No,No,No,Series Preferred Stock,N/A,6/19/12
CTPPP*,"Central Maine Power Co.,",4.60%,No,No,No,No,Series Preferred Stock,N/A,6/19/12
PL-S*,"PLC Capital Trust III,",7 1/2%,No,No,No,No,TOPrS Trust Orig Preferred Securities,8/22/06,6/19/12
PL-A*,"PLC Capital Trust IV,",7.25%,No,No,No,No,TOPrS Trust Orig Preferred Securities,9/25/07,6/19/12
NGEGM*,"New York State Electric &amp; Gas,",4.15% 1954,Yes,No,No,No,Series Cumul Preferred Stock,N/A,6/19/12
NGEGN*,"New York State Electric &amp; Gas,",3.75%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,6/19/12
NGEGP*,"New York State Electric &amp; Gas,",4 1/2% 1949,Yes,No,No,No,Series Cumul Preferred Stock,N/A,6/19/12
NGESM*,"New York State Electric &amp; Gas,",4.40%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,6/19/12
PLEUK*,"PPL Electric Utilities Corp.,",6.25%,No,No,No,No,"Dep Shares, Non-Cumulative Preference Stock",4/06/11,6/18/12
CHGEL*,"Central Hudson Gas &amp; Electric Corp.,",4.96%,No,No,No,No,Series Preferred Stock,N/A,6/18/12
CHGEZ*,"Central Hudson Gas &amp; Electric Corp.,",4.35%,No,No,No,No,Series Preferred Stock,N/A,6/18/12
AIV-V*,"Apartment Investment &amp; Management,",8.00%,Yes,No,No,No,Class V Cumul Preferred Stock,9/29/09,6/15/12
AIV-Y*,"Apartment Investment &amp; Management,",7.875%,Yes,No,No,No,Class Y Cumul Preferred Stock,12/21/09,6/15/12
AIV-T*,"Apartment Investment &amp; Management,",8.00%,Yes,No,No,No,Class T Cumul Preferred Stock,7/31/08,6/15/12
IKM*,"Bank of America,",5.875%,No,No,No,No,Subordinated InterNotes due 12/15/2033,12/15/08,6/15/12
FWF*,"Wells Fargo Capital XI,",6.25%,No,No,No,No,Enhanced TruPS Trust Preferred Securities,6/15/12,6/15/12
PJR*,ML Depositor PreferredPlus,7.40%,No,No,No,No,UnumProvident UPC-1,12/15/07,6/15/12
PSB-H*,"PS Business Parks,",7.00%,Yes,No,No,No,"Dep Shares Cumulative Preferred Stock, Series H",1/30/09,6/15/12
PSB-I*,"PS Business Parks,",6.875%,Yes,No,No,No,"Dep Shares Cumulative Preferred Stock, Series I",4/21/09,6/15/12
WB-C*,"Wachovia Capital Trust IX,",6.375%,No,No,No,No,Trust Preferred Securities,6/15/12,6/15/12
ZB-E*,N/A,N/A,No,No,No,No,N/A,6/15/12,6/15/12
HYY*,"Structured Products CorTS III, Verizon Global Fund Notes,",6.25%,No,No,No,No,Certificates,4/26/09,6/13/12
HZD*,"Structured Products CorTS V, IBM Debentures,",6.40%,No,No,No,No,Certificates,9/29/11,6/11/12
HZK*,"Structured Products CorTS VI, IBM Debentures,",6.375%,No,No,No,No,Certificates,10/20/11,6/11/12
LXP-B*,"Lexington Realty Trust,",8.05%,Yes,No,No,Yes,Series B Cumul Redeem Preferred Stock,6/19/08,5/31/12
UDR-G*,"UDR Inc.,",6.75%,Yes,No,No,Yes,Series G Cumulative Redeemable Preferred Stock,5/31/12,5/31/12
NCC-B*,"National City Capital Trust III,",6.625%,No,No,No,No,Trust Preferred Securities,5/25/12,5/25/12
LHO-D*,"LaSalle Hotel Properties,",7.50%,Yes,No,No,Yes,Series D Cumulative Redeemable Preferred Shares,8/24/10,5/21/12
LHO-E*,"LaSalle Hotel Properties,",8.00%,Yes,No,No,Yes,Series E Cumulative Redeemable Preferred Shares,N/A,5/21/12
USB-J*,"USB Capital XI,",6.60%,No,No,No,No,Trust Preferred Securities,9/15/11,5/18/12
USB-K*,"USB Capital XII,",6.30%,No,No,No,No,Trust Preferred Securities,2/15/12,5/18/12
TYY-B*,"Tortoise Energy Capital Corp.,",5.00%,No,No,No,Yes,Series B Mand Redeem Pfd Shares 3/1/2018,3/01/12,5/17/12
WRS*,"Westar Energy,",6.10%,No,No,No,No,Series First Mortgage Bonds due 5/15/2047,5/15/12,5/15/12
MPJ*,"Mississippi Power Co.,",5 5/8%,No,No,No,No,Series E Senior Notes due 5/1/2033,5/01/08,5/15/12
BDN-C*,"Brandywine Realty Trust,",7.50%,Yes,No,No,Yes,Series C Cumul Redeem Preferred Shares,12/30/08,5/03/12
ARH-A*,"Arch Capital Group Ltd,",8.00%,No,No,No,No,"Non-Cumulative Preferred Shares, Series A",2/01/11,5/02/12
ARH-B*,"Arch Capital Group Ltd,",7.875%,No,No,No,No,"Non-Cumulative Preferred Shares, Series B",5/15/11,5/02/12
MSDXP*,"Mason-Dixon Capital Trust,",$2.5175,No,No,No,No,Preferred Securities,6/15/11,5/02/12
PMB-*,"Premier Capital Trust I,",9.00%,Yes,No,No,No,Cumulative Trust Preferred Securities,12/31/07,5/02/12
WCAT*,N/A,N/A,No,No,No,No,N/A,N/A,5/02/12
CEDNM*,"Consolidated Edison Co. of NY,",4.65%,Yes,No,No,No,Series D Cumul Preferred Stock,N/A,5/01/12
ED-A*,"Consolidated Edison Co. of NY,",$5.00,Yes,No,No,No,Cumul Preferred Stock,N/A,5/01/12
ED-C*,"Consolidated Edison Co. of NY,",4.65%,Yes,No,No,No,Series C Cumul Preferred Stock,N/A,5/01/12
PNU*,"PNC Capital Trust D,",6.125%,No,No,No,No,Capital Securities,12/18/08,4/25/12
HCP-E*,"HCP Inc.,",7.25%,Yes,No,No,Yes,Series E Cumulative Redeemable Preferred Stock,9/15/08,4/23/12
HCP-F*,"HCP Inc.,",7.10%,Yes,No,No,Yes,Series F Cumulative Redeemable Preferred Stock,12/03/08,4/23/12
CCW*,"Comcast Corp.,",7.00%,No,No,No,No,Series B Notes due 9/15/2055,9/15/11,4/20/12
DLRCP*,"Digital Realty Trust,",4.375%,Yes,No,Yes,No,Series C Cumulative Convertible Preferred Stock,4/10/12,4/17/12
KRC-E*,"Kilroy Realty Corp.,",7.80%,Yes,No,No,Yes,Series E Cumul Redeem Preferred Stock,11/21/08,4/16/12
KRC-F*,"Kilroy Realty Corp.,",7.50%,Yes,No,No,Yes,Series F Cumul Redeem Preferred Stock,12/08/09,4/16/12
